,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
116,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152.0,idi,3.7,3.52,21.0,95,4150,28.0,33.0,17950
117,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130.0,l,four,134.0,mpfi,3.61,3.21,7.0,142,5600,18.0,24.0,18150
118,1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500,37.0,41.0,5572
119,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102,5500,24.0,30.0,7957
120,1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500,31.0,38.0,6229
121,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500,31.0,38.0,6692
122,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191.0,ohc,four,98.0,2bbl,2.97,3.23,9.4,68,5500,31.0,38.0,7609
123,-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000,24.0,30.0,8921
124,3,?,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000,19.0,24.0,12764
125,3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778.0,ohc,four,151.0,mpfi,3.94,3.11,9.5,143,5500,19.0,27.0,22018
126,3,?,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900,17.0,25.0,32528
127,3,?,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900,17.0,25.0,34028
128,3,?,porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900,17.0,25.0,37028
129,1,?,porsche,gas,std,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366.0,dohcv,eight,203.0,mpfi,3.94,3.11,10.0,288,5750,17.0,28.0,?
130,0,?,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579.0,ohc,four,132.0,mpfi,3.46,3.9,8.7,?,?,23.0,31.0,9295
131,2,?,renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460.0,ohc,four,132.0,mpfi,3.46,3.9,8.7,?,?,23.0,31.0,9895
132,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658.0,ohc,four,121.0,mpfi,3.54,3.07,9.31,110,5250,21.0,28.0,11850
133,2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110,5250,21.0,28.0,12170
134,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707.0,ohc,four,121.0,mpfi,2.54,2.07,9.3,110,5250,21.0,28.0,15040
135,2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110,5250,21.0,28.0,15510
136,3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808.0,dohc,four,121.0,mpfi,3.54,3.07,9.0,160,5500,19.0,26.0,18150
137,2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847.0,dohc,four,121.0,mpfi,3.54,3.07,9.0,160,5500,19.0,26.0,18620
138,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050.0,ohcf,four,97.0,2bbl,3.62,2.36,9.0,69,4900,31.0,36.0,5118
139,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120.0,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73,4400,26.0,31.0,7053
140,2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240.0,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73,4400,26.0,31.0,7603
141,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145.0,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82,4800,32.0,37.0,7126
142,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190.0,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82,4400,28.0,33.0,7775
143,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340.0,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94,5200,26.0,32.0,9960
144,0,102,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800,24.0,25.0,9233
145,0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510.0,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111,4800,24.0,29.0,11259
146,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800,28.0,32.0,7463
147,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455.0,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94,5200,25.0,31.0,10198
148,0,85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800,23.0,29.0,8013
149,0,85,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650.0,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111,4800,23.0,23.0,11694
150,1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800,35.0,39.0,5348
151,1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800,31.0,38.0,6338
152,1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800,31.0,38.0,6488
153,0,77,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800,31.0,37.0,6918
154,0,81,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800,27.0,32.0,7898
155,0,91,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800,27.0,32.0,8778
156,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800,30.0,37.0,6938
157,0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800,30.0,37.0,7198
158,0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275.0,ohc,four,110.0,idi,3.27,3.35,22.5,56,4500,34.0,36.0,7898
159,0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275.0,ohc,four,110.0,idi,3.27,3.35,22.5,56,4500,38.0,47.0,7788
160,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800,38.0,47.0,7738
161,0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800,28.0,34.0,8358
162,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800,28.0,34.0,9258
163,1,168,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800,29.0,34.0,8058
164,1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800,29.0,34.0,8238
165,1,168,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265.0,dohc,four,98.0,mpfi,3.24,3.08,9.4,112,6600,26.0,29.0,9298
166,1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300.0,dohc,four,98.0,mpfi,3.24,3.08,9.4,112,6600,26.0,29.0,9538
167,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800,24.0,30.0,8449
168,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800,24.0,30.0,9639
169,2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800,24.0,30.0,9989
170,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800,24.0,30.0,11199
171,2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800,24.0,30.0,11549
172,2,134,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800,24.0,30.0,17669
173,-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,92,4200,29.0,34.0,8948
174,-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480.0,ohc,four,110.0,idi,3.27,3.35,22.5,73,4500,30.0,33.0,10698
175,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,92,4200,27.0,32.0,9988
176,-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,92,4200,27.0,32.0,10898
177,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,92,4200,27.0,32.0,11248
178,3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976.0,dohc,six,171.0,mpfi,3.27,3.35,9.3,161,5200,20.0,24.0,16558
179,3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016.0,dohc,six,171.0,mpfi,3.27,3.35,9.3,161,5200,19.0,24.0,15998
180,-1,90,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131.0,dohc,six,171.0,mpfi,3.27,3.35,9.2,156,5200,20.0,24.0,15690
181,-1,?,toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151.0,dohc,six,161.0,mpfi,3.27,3.35,9.2,156,5200,19.0,24.0,15750
182,2,122,volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261.0,ohc,four,97.0,idi,3.01,3.4,23.0,52,4800,37.0,46.0,7775
183,2,122,volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209.0,ohc,four,109.0,mpfi,3.19,3.4,9.0,85,5250,27.0,34.0,7975
184,2,94,volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264.0,ohc,four,97.0,idi,3.01,3.4,23.0,52,4800,37.0,46.0,7995
185,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212.0,ohc,four,109.0,mpfi,3.19,3.4,9.0,85,5250,27.0,34.0,8195
186,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275.0,ohc,four,109.0,mpfi,3.19,3.4,9.0,85,5250,27.0,34.0,8495
187,2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319.0,ohc,four,97.0,idi,3.01,3.4,23.0,68,4500,37.0,42.0,9495
188,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,100,5500,26.0,32.0,9995
189,3,?,volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254.0,ohc,four,109.0,mpfi,3.19,3.4,8.5,90,5500,24.0,29.0,11595
190,3,256,volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221.0,ohc,four,109.0,mpfi,3.19,3.4,8.5,90,5500,24.0,29.0,9980
191,0,?,volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500,19.0,24.0,13295
192,0,?,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579.0,ohc,four,97.0,idi,3.01,3.4,23.0,68,4500,33.0,38.0,13845
193,0,?,volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563.0,ohc,four,109.0,mpfi,3.19,3.4,9.0,88,5500,25.0,31.0,12290
194,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400,23.0,28.0,12940
195,-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400,23.0,28.0,13415
196,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400,24.0,28.0,15985
197,-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400,24.0,28.0,16515
198,-2,103,volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045.0,ohc,four,130.0,mpfi,3.62,3.15,7.5,162,5100,17.0,22.0,18420
199,-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157.0,ohc,four,130.0,mpfi,3.62,3.15,7.5,162,5100,17.0,22.0,18950
200,-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400,23.0,28.0,16845
201,-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049.0,ohc,four,141.0,mpfi,3.78,3.15,8.7,160,5300,19.0,25.0,19045
202,-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012.0,ohcv,six,173.0,mpfi,3.58,2.87,8.8,134,5500,18.0,23.0,21485
203,-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217.0,ohc,six,145.0,idi,3.01,3.4,23.0,106,4800,26.0,27.0,22470
204,-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400,19.0,25.0,22625
205,0,?,cadillac,gas,std,four,sedan,fwd,front,100.5,196.7,72.2,55.9,3715.0,ohc,six,222.0,mpfi,3.46,3.1,8.1,155.0,4750,16.0,25.0,?
206,-1,?,cadillac,gas,std,four,wagon,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,six,207.0,?,3.8,3.1,8.1,160.0,4500,15.0,24.0,?
207,2,160,cadillac,gas,std,two,convertible,rwd,front,96.6,159.3,64.2,50.8,2800.0,dohc,four,130.0,mpfi,3.52,2.64,9.0,90.0,5500,30.0,34.0,9250
208,1,104,ford,gas,std,four,sedan,fwd,front,105.8,189.0,66.9,55.1,2524.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,10345
209,0,?,ford,gas,std,two,hatchback,fwd,front,98.4,175.7,72.0,54.3,2155.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,8238
210,1,104,ford,gas,std,four,wagon,fwd,front,98.4,175.7,72.0,54.3,2425.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,88.0,5000,25.0,30.0,8921
211,0,?,chrysler,gas,std,four,sedan,fwd,front,105.8,189.0,66.9,55.1,2524.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,10345
212,-1,?,chrysler,gas,std,two,hatchback,fwd,front,98.4,175.7,72.0,54.3,2155.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,8238
213,1,104,chrysler,gas,std,four,wagon,fwd,front,98.4,175.7,72.0,54.3,2425.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,88.0,5000,25.0,30.0,8921
214,0,?,gmc,gas,std,four,sedan,fwd,front,105.8,189.0,66.9,55.1,2524.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,10345
215,-1,?,gmc,gas,std,two,hatchback,fwd,front,98.4,175.7,72.0,54.3,2155.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,8238
216,1,104,gmc,gas,std,four,wagon,fwd,front,98.4,175.7,72.0,,,,,,,,,,,,,,
217,0,?,kia,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2823.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,88.0,5000,25.0,31.0,7975
218,1,?,kia,gas,std,four,wagon,fwd,front,102.4,187.8,66.5,55.5,2935.0,ohc,four,122.0,mpfi,3.31,3.54,9.0,88.0,5000,24.0,29.0,8189
219,2,102,kia,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,ohc,four,122.0,mpfi,3.31,3.54,9.0,88.0,5000,26.0,31.0,9295
220,0,?,cadillac,gas,std,four,sedan,fwd,front,100.5,196.7,72.2,55.9,3715.0,ohc,six,222.0,mpfi,3.46,3.1,8.1,155.0,4750,16.0,25.0,?
221,-1,?,cadillac,gas,std,four,wagon,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,six,207.0,?,3.8,3.1,8.1,160.0,4500,15.0,24.0,?
222,2,160,cadillac,gas,std,two,convertible,rwd,front,96.6,159.3,64.2,50.8,2800.0,dohc,four,130.0,mpfi,3.52,2.64,9.0,90.0,5500,30.0,34.0,9250
223,1,104,ford,gas,std,four,sedan,fwd,front,105.8,189.0,66.9,55.1,2524.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,10345
224,0,?,ford,gas,std,two,hatchback,fwd,front,98.4,175.7,72.0,54.3,2155.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,8238
225,1,104,ford,gas,std,four,wagon,fwd,front,98.4,175.7,72.0,54.3,2425.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,88.0,5000,25.0,30.0,8921
226,0,?,chrysler,gas,std,four,sedan,fwd,front,105.8,189.0,66.9,55.1,2524.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,10345
227,-1,?,chrysler,gas,std,two,hatchback,fwd,front,98.4,175.7,72.0,54.3,2155.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,8238
228,1,104,chrysler,gas,std,four,wagon,fwd,front,98.4,175.7,72.0,54.3,2425.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,88.0,5000,25.0,30.0,8921
229,0,?,gmc,gas,std,four,sedan,fwd,front,105.8,189.0,66.9,55.1,2524.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,10345
230,-1,?,gmc,gas,std,two,hatchback,fwd,front,98.4,175.7,72.0,54.3,2155.0,ohc,four,140.0,mpfi,3.00,3.11,8.5,114.0,5400,23.0,28.0,8238
231,1,104,gmc,gas,std,four,wagon,fwd,front,98.4,175.7,72.0,,,,,,,,,,,,,,
232,0,?,kia,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2823.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,88.0,5000,25.0,31.0,7975
233,1,?,kia,gas,std,four,wagon,fwd,front,102.4,187.8,66.5,55.5,2935.0,ohc,four,122.0,mpfi,3.31,3.54,9.0,88.0,5000,24.0,29.0,8189
234,2,102,kia,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,ohc,four,122.0,mpfi,3.31,3.54,9.0,88.0,5000,26.0,31.0,9295
